Código;nome;caloria;proteina;lipídio;carboidrato;Grupo
7800301;Parte de galinha ou frango não especificada;239;27,3;13,6;1,12;Aves e ovos  
7800302;Frango em pedaços;239;27,3;13,6;1,12;Aves e ovos  
7800303;Galinha em pedaços ;239;27,3;13,6;1,12;Aves e ovos  
7800304;Carne de galinha ;239;27,3;13,6;1,12;Aves e ovos  
7800401;Peito de galinha ou frango;173;30,91;4,51;1,12;Aves e ovos  
7800402;Filé de frango;173;30,91;4,51;1,12;Aves e ovos  
7800602;Carcaça de galinha ou frango;173;30,91;4,51;1,12;Aves e ovos  
7800702;Drumete de galinha ou frango;213;27,73;10,5;1,12;Aves e ovos  
7800801;Pescoço de galinha ou frango;300;25,95;20,97;1,12;Aves e ovos  
7801001;Miúdo de galinha ou frango ;167;24,46;6,51;0,87;Aves e ovos  
7801101;Moela de galinha ou frango;146;30,39;2,68;1,12;Aves e ovos  
7801202;Coração de frango;185;26,41;7,92;0,1;Aves e ovos  
7801301;Fígado de galinha ou frango;167;24,46;6,51;0,87;Aves e ovos  
7801407;Canja ;31,47;1,61;1,06;3,64;Aves e ovos  
7801702;Peru em pedaço não especificado;207;26,94;10,24;1,12;Aves e ovos  
7801801;Peito de peru;140;30,19;1,18;1,12;Aves e ovos  
7802101;Asa de peru;229;27,38;12,43;1,12;Aves e ovos  
7802701;Chester ;207;26,94;10,24;1,12;Aves e ovos  
7802702;Tender;178;22,62;9,02;1,12;Aves e ovos  
7802801;Nambu ;219;23,9;13;1,12;Aves e ovos  
7802901;Nuggets de frango;273,02;16,24;15,63;15,91;Aves e ovos  
7802902;Steak de frango;211,84;31,37;7,12;3,39;Aves e ovos  
7803001;Codorna;269,66;32,4;14,66;1,12;Aves e ovos  
7803201;Pé e asa de galinha ou frango;290;26,86;19,46;1,12;Aves e ovos  
7803301;Ovo de galinha;155;12,58;10,61;1,12;Aves e ovos  
7803501;Ovo de codorna;155;12,58;10,61;1,12;Aves e ovos  
7803702;Galinhad'angola abatida, congelada ou viva;247;32,4;12,1;1,12;Aves e ovos  
7803703;Capote ;247;32,4;12,1;1,12;Aves e ovos  
7803707;Mutum ;239;27,3;13,6;1,12;Aves e ovos  
7803907;Pato em pedaços;201;26,14;9,97;1,12;Aves e ovos  
7803908;Peito de pato;223,66;26,14;12,53;1,12;Aves e ovos  
7803913;Carne de pato ;201;26,14;9,97;1,12;Aves e ovos  
7805401;Peito de peru light;140;30,19;1,18;1,12;Aves e ovos  
7805501;Frango inteiro orgânico;239;27,3;13,6;1,12;Aves e ovos  
7900101;Leite de vaca integral;60,03;3,22;3,25;4,52;Laticínios
7900201;Leite de vaca fresco ;60,03;3,22;3,25;4,52;Laticínios
7900301;Leite de cabra;69,03;3,56;4,14;4,45;Laticínios
7900601;Leite em pó integral;480;25,76;26;36,16;Laticínios
7900710;Leite em pó desnatado;358;35,1;0,72;52,19;Laticínios
7900801;Leite em pó ;480;25,76;26;36,16;Laticínios
7900901;Leite condensado;319,7;7,88;8,67;54,18;Laticínios
7900903;Leite beijinho;319,7;7,88;8,67;54,18;Laticínios
7901001;Creme de leite;292;2,17;30,91;2,96;Laticínios
7901101;Chantilly;276,39;2,93;24,57;12,36;Laticínios
7901201;Iogurte de qualquer sabor;98,69;3,46;3,47;14,62;Laticínios
7901301;Yakult de qualquer sabor;69,3;3,03;0,07;14,46;Laticínios
7901303;Bebida láctea;91,13;2,78;1,15;18,03;Laticínios
7901304;Leite fermentado;50,23;3,32;1,98;4,7;Laticínios
7901401;Coalhada;61;3,47;3,25;4,66;Laticínios
7901501;Manteiga com ou sem sal;717;0,85;81,11;0,06;Laticínios
7901701;Queijo prato;302;25,96;20,03;3,83;Laticínios
7901801;Queijo muçarela;318;21,6;24,64;2,47;Laticínios
7901803;Muçarela;318;21,6;24,64;2,47;Laticínios
7902005;Queijo de coalho;373;24,48;30,28;0,68;Laticínios
7902008;Queijo canastra;240;17,6;14,1;10,6;Laticínios
7902201;Queijo ricota;174;11,26;12,98;3,04;Laticínios
7902301;Leite de soja com sabor ;64,05;3,68;1,65;9,07;Laticínios
7902303;Ades original;54;3,27;1,75;6,28;Laticínios
7902403;Queijo ralado;431;38,46;28,61;4,06;Laticínios
7902501;Queijo provolone;351;25,58;26,62;2,14;Laticínios
7902801;Queijo polenguinho;349;7,55;34,87;2,66;Laticínios
7902901;Requeijão;231;10,6;17,6;7;Laticínios
7902902;Queijo cremoso;231;10,6;17,6;7;Laticínios
7903001;Queijo não especificado;375;22,15;31,25;1,6;Laticínios
7903101;Leite com sabor;83,32;3,18;3,4;10,38;Laticínios
7903102;Leite achocolatado;83,32;3,18;3,4;10,38;Laticínios
7903109;Leite aRomãtizado;83,32;3,18;3,4;10,38;Laticínios
7903110;Bebida achocolatada;83,32;3,18;3,4;10,38;Laticínios
7903201;Nata;195;2,7;19,31;3,66;Laticínios
7903301;Queijo gorgonzola;353;21,4;28,74;2,34;Laticínios
7903402;Tofu;61;6,55;3,69;1,8;Laticínios
7903501;Leite de soja em pó;408,33;32,85;13,22;42,13;Laticínios
7903601;Leite de vaca desnatado;34,15;3,39;0,08;4,98;Laticínios
7903702;Leite de vaca semidesnatado;42;3,37;0,97;4,99;Laticínios
7903801;Leite não especificado pasteurizado;60,03;3,22;3,25;4,52;Laticínios
7903901;Iogurte de qualquer sabor light;102;4,37;1,08;19,05;Laticínios
7904001;Iogurte de qualquer sabor diet;51,35;3,11;2,65;3,88;Laticínios
7904201;Margarina light;253,69;0,08;28,52;0,27;Laticínios
7904301;Leite de vaca integral orgânico;60,03;3,22;3,25;4,52;Laticínios
7904401;Leite de vaca fresco orgânico;60,03;3,22;3,25;4,52;Laticínios
7904601;Leite semidesnatado de vaca orgânico;42;3,37;0,97;4,99;Laticínios
7904701;Creme de leite orgânico;292;2,17;30,91;2,96;Laticínios
7904801;Iogurte de qualquer sabor orgânico;98,69;3,46;3,47;14,62;Laticínios
7904803;Iogurte de qualquer sabor desnatado orgânico;95;4,4;0,2;19;Laticínios
7904804;Iogurte natural de qualquer sabor orgânico;61;3,47;3,25;4,66;Laticínios
7905103;Muçarela light;302;25,96;20,03;3,83;Laticínios
7905104;Queijo muçarela light;302;25,96;20,03;3,83;Laticínios
7905201;Leite de soja com sabor light;53,21;2,56;1,03;8,62;Laticínios
7905203;Ades light;39,37;1,99;0,82;6,18;Laticínios
7905601;Creme de leite light;59;2,6;1,4;9;Laticínios
7905901;Queijo prato light;297,3;24,49;21,36;1,22;Laticínios
7906001;Queijo de minas light;90;13,74;1,93;3,63;Laticínios
7906005;Queijo de coalho light;297,3;24,49;21,36;1,22;Laticínios
7906201;Queijo ricota light;92,69;14,56;0,29;7,08;Laticínios
7906303;Queijo ralado light;265;20;20;1,37;Laticínios
7906401;Queijo polenguinho light;231;10,6;17,6;7;Laticínios
7906501;Requeijão light;231;10,6;17,6;7;Laticínios
7906601;Queijo não especificado light;90;13,74;1,93;3,63;Laticínios
7906702;Leite achocolatado light;63;3,24;1;10,44;Laticínios
7906710;Bebida achocolatada light;63;3,24;1;10,44;Laticínios
7906801;Leite com sabor diet;73,29;3,48;3,51;7,09;Laticínios
7906802;Leite achocolatado diet;73,29;3,48;3,51;7,09;Laticínios
7906810;Bebida achocolatada diet;73,29;3,48;3,51;7,09;Laticínios
7906901;Leite de soja em pó light;379,58;32,94;2,8;59,92;Laticínios
7907001;Leite em pó com sabor;405;3,3;3,1;90,9;Laticínios
7907101;Manteiga com ou sem sal light;347,32;0,41;39,29;0,03;Laticínios
7907301;Queijo de minas frescal orgânico;240;17,6;14,1;10,6;Laticínios
7907305;Queijo de coalho frescal orgânico;373;24,48;30,28;0,68;Laticínios
8000103;Pão de hambúrguer;279;9,5;4,33;49,45;Panificados
8000105;Pão de sal;300;8;3,1;58,6;Panificados
8000201;Pão doce;355,23;5,15;13,08;55,83;Panificados
8000203;Chineque;355,23;5,15;13,08;55,83;Panificados
8000218;Chineque com farofa;355,23;5,15;13,08;55,83;Panificados
8000229;Pão de mel;508,36;4,46;18,34;85,04;Panificados
8000234;Panetone;355,95;7,45;10,43;58,03;Panificados
8000237;Bisnaguinha;310;10,86;6,47;52,04;Panificados
8000240;Croissant;455,16;8,04;26,26;46,84;Panificados
8000501;Pão de forma industrializado de qualquer marca;266;7,64;3,29;50,61;Panificados
8000801;Pão de queijo;363;5,1;24,6;34,2;Panificados
8001101;Pão de milho;316,62;7,2;10,43;47,96;Panificados
8001401;Pão integral;247;12,95;3,35;41,29;Panificados
8001501;Pão não especificado;300;8;3,1;58,6;Panificados
8001901;Torrada de qualquer pão;377;10,5;3,3;74,6;Panificados
8002001;Rosca doce;422,97;4,54;20,61;55,53;Panificados
8002002;Rosquinha doce;443;8,1;12;75,2;Panificados
8002101;Rosca salgada;245,75;12,83;9,85;25,8;Panificados
8002106;Rosquinha salgada;432;10,1;14,4;68,7;Panificados
8002201;Biscoito salgado;432;10,1;14,4;68,7;Panificados
8002205;Presuntinho biscoito;508,99;8,88;25,4;60,74;Panificados
8002212;Biscoito de polvilho;436,72;4,46;29,08;38,37;Panificados
8002225;Bolacha salgada;432;10,1;14,4;68,7;Panificados
8002227;Chips (salgadinhos);558,86;5,08;35,25;55,41;Panificados
8002230;Baconzitos;508,99;8,88;25,4;60,74;Panificados
8002236;Biscoito salgado integral;412,43;11,49;16,07;60,85;Panificados
8002301;Biscoito doce;443;8,1;12;75,2;Panificados
8002302;Cavaco chinês;443;8,1;12;75,2;Panificados
8002305;Sequilho;443;8,1;12;75,2;Panificados
8002306;Tareço;443;8,1;12;75,2;Panificados
8002309;Solda;432;10,1;14,4;68,7;Panificados
8002315;Brevidade;371,22;3,18;14,61;57,71;Panificados
8002334;Bolacha doce;443;8,1;12;75,2;Panificados
8002335;Maria maluca (bolacha doce);443;8,1;12;75,2;Panificados
8002405;Quebraquebra;443;8,1;12;75,2;Panificados
8002502;Rocambole;339,26;6,32;26,93;18,55;Panificados
8002503;Cuca de qualquer tipo;355,23;5,15;13,08;55,83;Panificados
8002601;Bolo de milho;311;4,8;12,4;45,1;Panificados
8002604;Amidomil (bolinho);311;4,8;12,4;45,1;Panificados
8002605;Angusor de milho;311;4,8;12,4;45,1;Panificados
8002609;Grustoli (bolinho doce);421,37;5,55;19,81;55,7;Panificados
8002701;Bolo de aipim;324;4,4;12,7;47,9;Panificados
8002702;Bolo de tapioca;324;4,4;12,7;47,9;Panificados
8002703;Bolo de macaxeira;324;4,4;12,7;47,9;Panificados
8002704;Bolo de goma;324;4,4;12,7;47,9;Panificados
8002801;Bolo de batatadoce;324;4,4;12,7;47,9;Panificados
8002901;Bolo de arroz;324;4,4;12,7;47,9;Panificados
8003101;Bolo de cará;324;4,4;12,7;47,9;Panificados
8003501;Tortas doces de qualquer sabor;119,67;2,28;5,38;15,56;Panificados
8003601;Tortas salgadas de qualquer sabor;249,55;3,87;9,86;38,4;Panificados
8003701;Sonho;378,79;6,02;18,25;48,08;Panificados
8003702;Filhos (bolinho de farinha de trigo e ovos);421,37;5,55;19,81;55,7;Panificados
8003801;Bolo de chocolate;312,8;8,71;6;58,3;Panificados
8003902;Brioche;366,84;9,04;14,22;49,58;Panificados
8004001;Bolo de laranja;360,83;4,8;13,15;58,32;Panificados
8004101;Bolo de coco;317,24;6,33;8,7;54,19;Panificados
8004201;Bolo de cenoura;344,86;4,17;17,26;44,27;Panificados
8004601;Bolo de trigo;286,6;6,91;4,24;55,27;Panificados
8004701;Broa;392;9,8;18,3;47,1;Panificados
8004801;Biscoito recheado;472;6,4;19,6;70,5;Panificados
8004807;Waffer (biscoito);430,32;6,25;12,49;74,79;Panificados
8004809;Alfajores (biscoito);505,21;6,47;22,55;70,85;Panificados
8004810;Bolacha recheada;472;6,4;19,6;70,5;Panificados
8004813;Rosca recheada;620,2;5,57;26,28;98,06;Panificados
8004814;Rosquinha recheada de qualquer sabor;472;6,4;19,6;70,5;Panificados
8005201;Biscoito não especificado;432;10,1;14,4;68,7;Panificados
8006101;Crepe;203,18;13,96;12,46;8,27;Panificados
8006501;Pão diet (de forma industrializado);198;9,1;2,3;43,6;Panificados
8006601;Pão light (de forma industrializado);198;9,1;2,3;43,6;Panificados
8006701;Pão de queijo light;363;5,1;24,6;34,2;Panificados
8006801;Pão integral light;198;9,1;2,3;43,6;Panificados
8007001;Tortas doces de qualquer sabor light;121,84;2,29;5,4;16,06;Panificados
8007101;Tortas doces de qualquer sabor diet;99,17;2,25;5,3;10,66;Panificados
8007302;Filhos (bolinho de farinha de trigo e ovos) light;426,53;6,44;22,95;48,69;Panificados
8007402;Filhos (bolinho de farinha de trigo e ovos) diet;426,53;6,44;22,95;48,69;Panificados
8007501;Bolo de chocolate light;299,49;4,59;9,36;52,45;Panificados
8007601;Bolo de chocolate diet;299,49;4,59;9,36;52,45;Panificados
8007701;Bolo de laranja light;328,38;4,76;9,48;58,31;Panificados
8008001;Bolo de coco diet;299,49;4,59;9,36;52,45;Panificados
8008201;Bolo de cenoura diet;272,74;4,09;9,1;44,26;Panificados
8008301;Biscoito recheado light;432,96;5,88;13,24;77,8;Panificados
8008305;Biscoito waffer light;398,63;4,51;6,92;80,66;Panificados
8008307;Waffer (biscoito) light;398,63;4,51;6,92;80,66;Panificados
8008309;Alfajores (biscoito) light;432,96;5,88;13,24;77,8;Panificados
8008310;Bolacha recheada light;432,96;5,88;13,24;77,8;Panificados
8008401;Biscoito recheado diet;405,28;8,17;20,83;66,82;Panificados
8008408;Rosquinha recheada de qualquer sabor diet;405,28;8,17;20,83;66,82;Panificados
8008410;Bolacha recheada diet;405,28;8,17;20,83;66,82;Panificados
8010001;Pão doce diet;312,25;4,83;6,92;57,97;Panificados
8010029;Pão de mel diet;446,23;4,38;11,31;85,04;Panificados
8010034;Panetone diet;355,95;7,45;10,43;58,03;Panificados
8010101;Biscoito salgado light;452,56;9,67;13,79;72,45;Panificados
8010125;Bolacha salgada light;452,56;9,67;13,79;72,45;Panificados
8010127;Chips (salgadinhos) light;407,05;6,53;7,05;81,13;Panificados
8010401;Biscoito doce light;395,25;6,45;4,84;83,88;Panificados
8010434;Bolacha doce light;395,25;6,45;4,84;83,88;Panificados
8010501;Biscoito doce diet;453,92;6,22;21,89;65,74;Panificados
8010534;Bolacha doce diet;453,92;6,22;21,89;65,74;Panificados
8010601;Bolo de banana;300,05;3,93;9,07;52,14;Panificados
8100101;Carneseca;313;26,9;21,9;2,4;Carnes industrializadas
8100102;Carne de charque;313;26,9;21,9;2,4;Carnes industrializadas
8100103;Jabá;313;26,9;21,9;2,4;Carnes industrializadas
8100201;Carne de sol;313;26,9;21,9;2,4;Carnes industrializadas
8100502;Hambúrguer de carne bovina;214;26,62;11,1;2,4;Carnes industrializadas
8100802;Copa de porco defumada;248,66;20,53;17,76;0,42;Carnes industrializadas
8101005;Bacon;541;37,04;41,78;1,43;Carnes industrializadas
8101101;Hambúrguer de frango;206,14;16,19;9,71;12,64;Carnes industrializadas
8102101;Salsicha no varejo;321,05;9,72;29,51;3,61;Carnes industrializadas
8102204;Linguiça (suína, bovina, mista, etc.);396;13,8;36,25;2,7;Carnes industrializadas
8102207;Linguiça de frango;244;18,2;18,4;2,4;Carnes industrializadas
8102401;Chouriço;379;14,6;34,5;1,29;Carnes industrializadas
8102402;Morcela;379;14,6;34,5;1,29;Carnes industrializadas
8102403;Morcilha;379;14,6;34,5;1,29;Carnes industrializadas
8102501;Paio;339;19,43;28,36;2,4;Carnes industrializadas
8102601;Mortadela;307;11,1;27,7;3,2;Carnes industrializadas
8102701;Salame;336;21,85;25,9;2,4;Carnes industrializadas
8102702;Salaminho;336;21,85;25,9;2,4;Carnes industrializadas
8102801;Blanquet de peru;126;17,5;4,84;2,04;Carnes industrializadas
8102901;Presunto ;226;20,53;15,2;0,42;Carnes industrializadas
8103001;Hambúrguer de peru;195,96;16,62;8,35;12,64;Carnes industrializadas
8103101;Hambúrguer não especificado;214;26,62;11,1;2,4;Carnes industrializadas
8103601;Apresuntado;178;22,62;9,02;2,4;Carnes industrializadas
8103901;Pururuca de porco;544;61,3;31,3;2,4;Carnes industrializadas
8103902;Pele de porco preparada (pururuca);544;61,3;31,3;2,4;Carnes industrializadas
8104001;Patê (fígado, calabresa, frango, presunto, etc.);326;14,1;28,5;2,2;Carnes industrializadas
8104101;Carne de aves defumada;195,66;30,91;7,07;2,4;Carnes industrializadas
8104601;Carne salgada não especificada;313;26,9;21,9;2,4;Carnes industrializadas
8104904;Mini chicken empanado;273,02;16,24;15,63;15,91;Carnes industrializadas
8105201;Salsicha no varejo light;154;11;10;4,4;Carnes industrializadas
8105401;Salame light;145,18;14,7;8,94;0,5;Carnes industrializadas
8105501;Blanquet de peru light;124,12;14,99;3,57;7,11;Carnes industrializadas
8105701;Hambúrguer não especificado light;190;27,03;8,26;2,4;Carnes industrializadas
8200101;Refrigerante de cola tradicional;36,87;0,07;0,02;9,53;Bebidas 
8200102;Cocacola tradicional;36,87;0,07;0,02;9,53;Bebidas 
8200202;Fanta laranja tradicional;48;0,25;0,02;12,3;Bebidas 
8200208;Sukita tradicional;48;0,25;0,02;12,3;Bebidas 
8200301;Refrigerante de guaraná tradicional;39;0,25;0,02;10;Bebidas 
8200302;Guaraná tradicional;39;0,25;0,02;10;Bebidas 
8200407;Sprit refrigerante tradicional;40;0,05;0,02;10,14;Bebidas 
8200505;Fanta uva tradicional;48;0,25;0,02;12,3;Bebidas 
8201104;Mate tradicional;2,8;0,25;0,02;2,31;Bebidas 
8201602;Guaraná light;36,87;0,25;0,02;9,53;Bebidas 
8201802;Tubaína tradicional;39;0,25;0,02;10;Bebidas 
8201902;Tubaína light;2;0,11;0,03;0,29;Bebidas 
8202001;Caldo de cana;73,58;0,25;0,05;19,97;Bebidas 
8202002;Garapá;73,58;0,25;0,05;19,97;Bebidas 
8202101;Água de coco;19,28;0,73;0,2;3,76;Bebidas 
8202402;Qsuco;15,28;0,25;0;3,91;Bebidas 
8202403;Qrefresko;15,28;0,25;0;3,91;Bebidas 
8202602;Nescafé;241;12,2;0,5;75,4;Bebidas 
8202803;Ervamate;2,8;0,25;0,02;2,31;Bebidas 
8202804;Chimarrão;2,8;0,25;0,02;2,31;Bebidas 
8202805;Tereré;2,8;0,25;0,02;2,31;Bebidas 
8203401;Levedo de cerveja;170;16,2;1,3;28,1;Bebidas 
8203501;Refrigerante não especificado;36,87;0,07;0,02;9,53;Bebidas 
8203603;Cevada em pó;352;9,91;1,16;77,72;Bebidas 
8204503;Chocomilk ;83,32;3,18;3,4;10,38;Bebidas 
8204902;Água tônica tradicional;40,02;0,05;0,02;10,14;Bebidas 
8205201;Chá diet (preto, camomila, ervacidreira, capimlimão, etc.) ;2,52;0,01;0,02;0,67;Bebidas 
8205402;Paraguai refrigerante tradicional;39;0,25;0,02;10;Bebidas 
8205803;Gatorade;27,01;0,25;0,1;6,76;Bebidas 
8205901;Bebida energética;45,35;0,25;0,08;11,03;Bebidas 
8206301;Chá (preto, camomila, ervacidreira, capimlimão, etc.);1;0,25;0,02;0,3;Bebidas 
8206402;Café solúvel capuccino ;27,71;0,26;0,84;5,17;Bebidas 
8207401;Refrigerante de guaraná diet;36,87;0,25;0,02;9,53;Bebidas 
8207402;Guaraná diet;36,87;0,25;0,02;9,53;Bebidas 
8207601;Refrigerante de limão diet;36,87;0,1;0,02;9,53;Bebidas 
8208104;Mate light;2,8;0,25;0,02;2,31;Bebidas 
8211002;Qsuco light;15,28;0,25;0;3,91;Bebidas 
8211003;Qrefresko light;15,28;0,25;0;3,91;Bebidas 
8211102;Qsuco diet;15,28;0,25;0;3,91;Bebidas 
8212902;Água tônica diet;40,02;0,05;0,02;10,14;Bebidas 
8212906;Refrigerante de quinino dietético;40,02;0,05;0,02;10,14;Bebidas 
8213003;Chá mate orgânico;2,8;0,25;0,02;2,31;Bebidas 
8213004;Chimarrão orgânico;2,8;0,25;0,02;2,31;Bebidas 
8213601;Suco de clorofila;1,87;0,24;0,02;0,31;Bebidas 
8273902;Café com farinha;181;0,86;0,16;44,19;Bebidas 
8400101;Azeite de oliva;887,81;10,65;100,43;0;Óleos e gorduras
8400301;Óleo de soja;879,73;10,65;99,52;0;Óleos e gorduras
8401801;Banha suína;902;10,65;100;0;Óleos e gorduras
8403001;Banha bovina;680;10,65;70,33;0;Óleos e gorduras
8403201;Óleo não especificado;879,73;10,65;99,52;0;Óleos e gorduras
8403501;Óleo de dendê;857,84;10,65;99,52;0;Óleos e gorduras
8500201;Salgadinho;274,6;13,41;16,88;16,54;Miscelâneas
8500202;Pastel (queijo, carne, palmito, etc.);319,81;10,38;15,68;33,51;Miscelâneas
8500203;Croquete ;274,6;13,41;16,88;16,54;Miscelâneas
8500205;Coxinha ;274,6;13,41;16,88;16,54;Miscelâneas
8500206;Empada (queijo, carne, camarão, etc.);153,96;7,89;7,91;12,47;Miscelâneas
8500207;Rissole  (queijo, carne, camarão, etc.);274,6;13,41;16,88;16,54;Miscelâneas
8500209;Acarajé;289;8,3;19,9;19,1;Miscelâneas
8500210;Torresmo ;544;61,3;31,3;14,33;Miscelâneas
8500211;Quibe ;274,6;13,41;16,88;16,54;Miscelâneas
8500212;Abará (Bahia);289;8,3;19,9;19,1;Miscelâneas
8500213;Paçoca de carne de sol;354;13,44;13,43;43,95;Miscelâneas
8500215;Angu frito;74,6;1,45;1,78;13;Miscelâneas
8500217;Angu de milho ;60,58;1,44;0,2;13;Miscelâneas
8500218;Polenta ;74,6;1,45;1,78;13;Miscelâneas
8500222;Esfirra ;359,42;9,76;18,88;37,51;Miscelâneas
8500223;Esfirra de carne ;346,45;11,9;21,38;26,2;Miscelâneas
8500224;Esfirra de queijo ;359,42;9,76;18,88;37,51;Miscelâneas
8500225;Esfirra de ricota ;320,39;7,54;15,25;38,09;Miscelâneas
8500226;Esfirra de frango ;222,39;9,47;12,71;17,32;Miscelâneas
8500227;Enroladinho ;274,6;13,41;16,88;16,54;Miscelâneas
8500228;Bolinho de aipim;212,64;6,28;13,11;18,51;Miscelâneas
8500232;Bolinho de bacalhau;214,01;16,7;12,75;7,69;Miscelâneas
8500302;Cachorroquente ;272,47;8,73;15,22;24,8;Miscelâneas
8500303;Hambúrguer (sanduíche);267,16;13,08;9,22;32,36;Miscelâneas
8500304;Cheeseburger ;279,85;14,15;11,81;28,74;Miscelâneas
8500305;Eggsburger ;269,44;13,28;16,1;17,42;Miscelâneas
8500307;Bauru ;229,47;13,67;13;13,97;Miscelâneas
8500308;Americano;236,68;10,05;14,22;16,85;Miscelâneas
8500313;Mistoquente ou frio ;265,42;16,29;13,78;18,3;Miscelâneas
8500315;Sanduíche de queijo prato;329,29;12,22;17,24;31,09;Miscelâneas
8500316;Sanduíche de salame;282,99;8,97;13,74;30,27;Miscelâneas
8500317;Sanduíche de presunto;230,33;10,97;12,15;18,73;Miscelâneas
8500318;Sanduíche de queijo prato com presunto;265,42;16,29;13,78;18,3;Miscelâneas
8500319;Sanduíche de mortadela;315,97;8,6;16,56;32,81;Miscelâneas
8500320;Sanduíche de queijo minas;329,29;12,22;17,24;31,09;Miscelâneas
8500321;Cheese egg;279,85;14,15;11,81;28,74;Miscelâneas
8500322;Cheese tudo;279,85;14,15;11,81;28,74;Miscelâneas
8500323;Sanduíche natural;245,58;11,21;10,84;25,58;Miscelâneas
8500401;Suco ;41,83;0,59;0,14;9,81;Miscelâneas
8500402;Suco de abacaxi ;53,21;0,36;0,12;12,92;Miscelâneas
8500403;Suco de acerola ;23,06;0,4;0,3;4,81;Miscelâneas
8500404;Suco de beterraba ;30,77;0,81;0,12;7,11;Miscelâneas
8500405;Suco de cupuaçu ;24,5;0,6;0,5;5,2;Miscelâneas
8500406;Suco de goiaba ;62,28;0,37;0,14;15,62;Miscelâneas
8500407;Suco de laranja ;41,83;0,59;0,14;9,81;Miscelâneas
8500408;Suco de laranja com banana ;56,8;0,76;0,2;13,84;Miscelâneas
8500409;Suco de laranja e beterraba ;30,77;0,81;0,12;7,11;Miscelâneas
8500410;Suco de laranja e cenoura ;30,77;0,81;0,12;7,11;Miscelâneas
8500411;Suco de laranja cenoura e beterraba;30,77;0,81;0,12;7,11;Miscelâneas
8500412;Suco de mamão ;57,13;0,17;0,15;14,54;Miscelâneas
8500413;Suco de manga ;50,86;0,11;0,06;13,08;Miscelâneas
8500414;Suco de maracujá ;60,14;0,67;0,18;14,48;Miscelâneas
8500415;Suco de melão ;31,79;0,65;0,16;8;Miscelâneas
8500416;Suco de morango ;59,21;0,57;0,1;14,51;Miscelâneas
8500417;Suco de pêssego ;53,99;0,27;0,02;13,92;Miscelâneas
8500418;Suco de pêssego em calda ;53,99;0,27;0,02;13,92;Miscelâneas
8500501;Vitamina ;92,78;2,47;2,31;16,39;Miscelâneas
8500503;Vitamina de banana ;92,78;2,47;2,31;16,39;Miscelâneas
8500504;Vitamina de banana com aveia ;108,46;3,06;2,54;19,2;Miscelâneas
8500505;Vitamina de mamão ;80,59;2,42;2,34;12,95;Miscelâneas
8500506;Vitamina de abacate ;100,19;2,74;4,64;12,8;Miscelâneas
8500507;Vitamina de morango ;74,61;1,96;1,83;13,27;Miscelâneas
8500508;Vitamina mista;83,16;1,81;1,65;16,2;Miscelâneas
8500509;Vitamina de maçã;82,99;2,28;2,26;13,98;Miscelâneas
8500601;Refresco ;46,81;5,33;14,33;11,92;Miscelâneas
8500602;Refresco de caju ;46,81;5,33;14,33;11,92;Miscelâneas
8500603;Refresco de groselha ;46,81;5,33;14,33;11,92;Miscelâneas
8500604;Refresco de laranja ;46,81;5,33;14,33;11,92;Miscelâneas
8500605;Refresco de maracujá ;46,81;5,33;14,33;11,92;Miscelâneas
8500606;Refresco de limão;46,81;5,33;14,33;11,92;Miscelâneas
8500801;Salada ou verdura cozida, exceto de fruta;26;2,11;0,36;4,91;Miscelâneas
8500802;Salada de maionese ;209,79;2,71;16,83;12,65;Miscelâneas
8500903;Pizza ;281,2;14,6;11,35;29,82;Miscelâneas
8500904;Lasanha pronta light ;158,63;10,78;7,31;12,34;Miscelâneas
8500905;Nhoque ;190,54;9,31;13,18;8,49;Miscelâneas
8500906;Caneloni;120,86;5,94;6,8;9,22;Miscelâneas
8500907;Capeleti ;95,24;5,53;2,59;12,6;Miscelâneas
8500909;Ravioli ;95,24;5,53;2,59;12,6;Miscelâneas
8500910;Calzone ;245,75;12,83;9,85;25,8;Miscelâneas
8500913;Panqueca;203,18;13,96;12,46;8,27;Miscelâneas
8500914;Pizza calabreza;284,72;13,74;12,21;29,51;Miscelâneas
8500915;Pizza muçarela;281,2;14,6;11,35;29,82;Miscelâneas
8500916;Pizza presunto;284,72;13,74;12,21;29,51;Miscelâneas
8500917;Pizza portuguesa;247,49;11,75;12,23;22,4;Miscelâneas
8500919;Macarronada;120,59;6,22;2,79;17,42;Miscelâneas
8501004;Galeto ;261,66;27,3;16,16;14,33;Miscelâneas
8501104;Costela;365;22,6;29,79;14,33;Miscelâneas
8501202;Pipoca doce ou salgada ;468,15;6,59;23,28;62,51;Miscelâneas
8501302;Café ;1;0,12;0,02;0,47;Miscelâneas
8501303;Café com leite ;31,44;1,72;1,69;2,57;Miscelâneas
8501304;Café tipo expresso;2,45;0,12;0,01;0,77;Miscelâneas
8501305;Café tipo capuccino;27,71;0,26;0,84;5,17;Miscelâneas
8501402;Milho cozido ;160,14;3,32;7,18;25,11;Miscelâneas
8501502;Batata palito;263,5;2,87;13,64;33,6;Miscelâneas
8501503;Batata palha;545,7;5,24;35,24;54,52;Miscelâneas
8501902;Mungunzá ;146;4;3,9;24,4;Miscelâneas
8501903;Canjica ;146;4;3,9;24,4;Miscelâneas
8501904;Curau;78,24;2,42;3,06;10,46;Miscelâneas
8502201;Farofa ;406;2,1;9,1;80,3;Miscelâneas
